13	13	13	13	13	13	13	13	13	13
42	42	51	51	51	42	51	51	51	51
11	11	12	12	12	11	12	22	22	12
32	32	33	42	42	32	33	33	52	42
54	54	22	52	52	54	14	22	43	11
11	11	14	43	23	11	41	52	12	23
43	23	41	12	41	23	22	23	42	11
12	41	32	33	22	11	33	11	52	43
33	22	13	14	14	43	22	43	23	12
22	33	42	41	41	12	52	51	11	33
14	14	52	22	32	33	23	12	43	14
41	54	23	52	54	14	41	33	51	41
22	13	11	23	11	54	32	14	12	32
33	51	23	11	23	13	54	54	33	54
14	12	41	43	11	51	13	11	14	11
54	42	22	51	32	22	42	32	41	32
13	52	33	22	13	33	11	54	22	13
51	23	14	33	42	22	23	13	33	42
22	11	54	22	11	52	11	42	22	52
52	43	11	14	43	43	43	52	14	43
43	12	43	54	51	51	12	43	54	51
51	33	51	11	22	12	42	12	13	22
12	22	22	32	33	42	52	42	42	33
42	52	52	54	22	52	43	11	11	22
52	43	43	13	52	23	51	23	32	52
23	51	12	42	43	41	22	41	54	23
11	22	42	11	12	22	14	22	11	41
23	14	11	23	33	14	54	14	23	22
41	41	32	41	14	41	11	41	41	14
32	32	54	32	54	32	32	32	32	54
13	13	13	13	13	13	13	13	13	13
42	42	51	51	42	42	51	51	51	51
52	11	12	22	11	11	12	12	12	12
23	23	42	33	43	43	33	33	33	42
41	11	11	22	12	12	22	22	14	52
22	32	43	14	33	42	14	14	41	43
14	54	12	41	22	52	41	41	32	12
41	13	33	22	52	23	32	32	13	33
32	51	14	52	43	11	54	54	42	22
54	22	54	23	51	32	11	11	11	33
13	33	11	11	22	54	23	43	43	14
51	22	23	23	14	11	11	51	12	41
22	14	11	41	41	23	32	22	42	22
33	54	32	32	22	41	13	52	52	52
22	11	13	54	33	22	42	43	23	23
52	43	42	11	14	52	52	12	11	41
43	51	52	43	54	43	23	42	23	32
51	12	43	51	13	51	41	52	41	54
12	33	51	12	51	12	22	23	22	11
33	14	22	33	12	33	52	11	33	23
14	41	14	14	42	22	43	32	22	11
54	22	41	54	52	33	12	13	52	43
11	52	22	13	23	14	42	42	43	51
23	43	33	42	41	54	11	11	51	22
11	12	22	52	32	13	43	23	22	14
43	42	52	43	54	51	51	41	14	54
12	52	23	12	11	22	22	22	54	13
42	23	41	42	23	14	33	33	11	42
11	41	32	11	11	41	14	14	32	11
32	32	54	32	32	32	54	54	54	32
13	13	13	13	13	13	13	13	13	13
51	42	51	51	51	51	51	42	51	51
12	52	22	12	22	12	12	52	12	12
42	43	52	42	33	42	33	43	42	33
11	12	43	11	22	11	22	51	52	14
32	42	12	23	14	43	33	22	43	54
54	11	33	41	54	12	14	14	51	11
11	43	22	32	11	33	41	41	22	23
23	51	14	13	23	22	22	22	14	41
41	12	54	42	41	33	52	52	41	22
32	33	11	52	22	14	43	23	22	33
13	22	23	43	52	41	51	41	33	22
42	52	11	12	23	22	22	32	22	14
52	23	32	33	11	14	14	54	52	41
43	11	54	22	32	54	54	13	23	32
51	32	13	14	13	13	11	51	41	54
22	13	42	41	42	42	32	12	32	13
52	51	11	22	11	52	54	42	13	42
23	22	43	52	43	43	13	11	42	11
11	14	51	23	12	51	42	23	11	43
43	41	12	11	42	22	11	11	23	12
12	32	42	43	52	52	43	43	11	42
33	54	52	51	43	23	12	12	32	52
14	11	23	22	51	41	42	33	54	43
41	23	41	33	12	32	52	22	11	51
22	41	22	14	33	54	23	33	43	22
33	22	33	54	14	11	11	14	12	52
22	33	14	11	41	23	23	54	33	23
14	14	41	32	32	11	41	11	14	11
54	54	32	54	54	32	32	32	54	32
13	13	13	13	13	13	13	13	13	13
51	51	42	51	42	42	42	51	42	42
12	22	52	12	52	11	11	22	11	11
42	33	23	33	23	23	32	14	23	23
52	14	11	14	41	41	54	54	41	11
43	54	23	41	22	22	11	11	32	43
12	13	41	22	14	33	23	43	13	12
33	42	32	14	54	22	11	12	51	42
14	52	13	54	13	14	43	33	12	52
41	23	51	11	51	54	51	14	42	23
32	41	22	23	22	13	22	41	52	41
13	22	52	41	33	51	33	32	43	22
42	52	43	32	22	22	14	54	12	33
11	43	51	13	52	52	41	13	33	14
32	12	12	42	43	43	32	42	14	41
54	33	42	52	51	51	13	52	41	32
11	22	11	43	12	12	51	23	22	54
43	14	43	51	42	33	12	11	33	11
51	41	12	22	11	14	42	23	22	32
22	32	33	33	23	41	52	41	14	13
52	54	14	22	11	32	23	22	54	51
23	11	41	52	43	54	41	33	11	12
11	43	22	23	12	11	22	22	43	33
23	51	33	11	33	43	52	52	51	22
41	12	22	43	14	12	43	43	22	52
22	42	14	12	41	42	12	51	52	43
33	11	54	42	32	52	33	12	23	51
22	23	11	11	54	23	22	42	11	22
14	11	32	32	11	11	14	11	32	14
54	32	54	54	32	32	54	32	54	54
13	13	13	13	13	13	13	13	13	13
42	51	42	51	51	51	42	42	51	42
52	12	52	12	22	12	11	52	22	11
23	33	43	42	14	33	43	43	14	32
11	14	51	11	54	14	51	51	54	54
32	41	22	23	13	41	12	12	13	13
54	32	14	41	42	32	33	42	42	51
13	54	41	32	52	13	14	11	52	22
51	11	32	54	23	42	41	43	43	52
22	43	13	13	11	11	32	12	12	43
52	12	51	42	32	23	54	33	42	51
43	42	12	52	54	11	13	22	11	12
51	11	42	43	11	43	51	52	23	42
12	32	11	12	23	12	22	23	41	52
42	13	23	33	41	42	52	11	32	23
11	42	41	22	22	52	43	23	54	11
23	52	22	14	52	43	12	41	11	43
41	23	33	54	43	51	42	22	43	12
22	11	22	11	51	22	52	14	51	33
14	23	52	43	12	52	23	54	12	14
54	41	23	51	42	23	41	11	33	54
11	22	11	22	11	41	22	32	14	11
43	33	32	33	43	22	33	13	41	23
12	22	54	14	12	33	22	51	22	41
33	52	11	41	33	22	14	22	33	22
22	43	43	22	22	14	54	33	22	33
33	51	12	52	33	54	11	14	52	22
14	22	33	23	14	11	23	41	23	14
41	14	14	11	41	32	11	32	11	41
32	54	54	32	32	54	32	54	32	32
13	13	13	13	13	13	13	13	13	13
